Creator Name,Primary Game,Platform,Followers,Hours Streamed,Monthly Revenue (£),Satisfaction Score (1-5)
RapidOtter908,Call of Duty,Twitch,75325,67.7,1896.39,5.0
VortexMage465,Valorant,twitch,48305,44.0,659.61,3.0
NeonSniper535,Terraria,YouTube,122294,137.8,2130.15,2.0
DarkTiger685,Overwatch 2,Kick,174842,167.5,237.52,4.0
LuckyCobra979,Genshin Impact,Twitch,92840,90.6,914.26,4.0
MysticFox996,Stardew Valley,YouTube,112093,116.5,935.88,1.0
RoyalViper434,League of Legends,Youtube,162802,156.4,1066.01,1.0
FrostSniper319,Roblox,kick,173584,179.8,741.94,1.0
LuckyPanda68,Roblox,YouTube,106915,111.2,873.03,4.0
BlazeFalcon757,Terraria,Twitch,148598,160.4,231.07,4.0
GoldenCobra764,Among Us,YouTube,161670,163.7,1762.01,4.0
SavageJaguar663,Call of Duty,twitch,141068,142.9,1349.15,4.0
VortexSniper620,Genshin Impact,Twich,81417,84.0,844.44,3.0
SavageHawk534,Rocket League,twitch,10760,16.4,1373.85,3.0
ToxicPhoenix238,Terraria,Youtube,7099,4.8,1804.44,4.0
CosmicRaven792,Genshin Impact,Twitch,83497,86.9,1053.52,2.0
SwiftDragon433,Fortnite,TWITCH_tv,76332,90.0,2790.22,5.0
ShadowLynx926,Apex Legends,Kick,60501,74.5,1125.25,
WildMage918,Overwatch 2,YouTube,103966,103.1,274.02,5.0
GhostOtter616,Stardew Valley,TWITCH_tv,75970,100.3,808.88,5.0
UltraKnight496,Valorant,kick,146498,150.9,1415.7,2.0
RoyalCobra540,League of Legends,Kick,17910,21.3,1805.75,1.0
GoldenLynx590,Among Us,twitch,51961,42.1,755.65,3.0
UltraCobra892,Overwatch 2,YouTube,133592,143.2,250.64,4.0
GoldenShark589,Fortnite,YouTube,152031,152.9,529.07,4.0
WildComet722,Rocket League,YouTube,168470,179.1,140.83,
StormComet866,League of Legends,twitch,151940,157.4,1219.15,2.0
RoyalLynx290,Roblox,Twitch,159775,160.4,437.26,3.0
MysticNinja832,FIFA 25,Kick,52900,58.0,322.94,5.0
StormPhoenix266,Call of Duty,kick,79297,73.5,1314.4,1.0
WildDragon22,Rocket League,Kick,40765,49.7,2098.72,2.0
FrostTiger562,League of Legends,Twich,108262,109.9,321.46,2.0
LuckySniper431,Stardew Valley,Youtube,169526,169.1,759.94,5.0
WildSniper736,Fortnite,Youtube,66915,63.3,549.98,3.0
WildOtter713,Stardew Valley,Youtube,112877,101.1,1868.57,
SwiftHawk467,Minecraft,YouTube,47357,54.7,609.75,2.0
CosmicJaguar935,Overwatch 2,TWITCH_tv,21057,32.2,224.67,1.0
NeonWolf819,Apex Legends,Twitch,28410,36.7,636.33,3.0
TurboPilot654,Apex Legends,YouTube,18469,12.3,1584.73,5.0
UltraMage503,Minecraft,twitch,167933,171.0,520.4,3.0
CosmicComet541,GTA V,Twitch,72333,73.7,357.81,5.0
ToxicBear446,Valorant,YouTube,135491,150.5,585.14,4.0
LuckyShark647,Rocket League,TWITCH_tv,124770,123.3,233.07,5.0
VortexLion892,GTA V,Twitch,26092,36.2,549.33,2.0
SolarWizard654,Stardew Valley,youtube,42312,33.2,386.03,5.0
HyperSniper26,GTA V,Kick,163535,146.5,3000.0,2.0
WildLion144,League of Legends,Twitch,51077,49.1,272.7,3.0
ShadowRaven100,Overwatch 2,Twitch,162535,164.6,357.53,
MysticCobra731,Stardew Valley,twitch,23112,26.9,234.89,2.0
MegaBear983,League of Legends,youtube,103488,122.6,921.68,2.0
MegaDragon518,Fortnite,youtube,136328,147.0,315.41,1.0
SwiftShark443,Terraria,Twitch,34462,43.9,121.55,1.0
NeonFox651,Valorant,Youtube,38564,51.2,702.56,3.0
ToxicHunter333,Among Us,Twitch,180294,173.7,492.57,5.0
PrimeFalcon87,Roblox,twitch,50328,49.1,331.35,2.0
RapidJaguar458,Fortnite,Twich,79113,78.5,1833.8,3.0
NeonOtter840,Overwatch 2,Twitch,74078,79.0,947.49,5.0
ShadowNinja454,Valorant,Twitch,44767,47.0,862.07,4.0
WildWizard404,GTA V,TWITCH_tv,142311,140.1,964.86,1.0
ToxicPilot762,GTA V,YouTube,133671,139.4,924.7,
MegaShark140,Minecraft,kick,71581,69.3,516.64,1.0
CyberCobra849,Valorant,Twich,143097,150.7,318.95,2.0
IronRanger525,Overwatch 2,Twitch,36668,39.9,716.14,2.0
UltraDragon771,FIFA 25,Twitch,50,2.8,507.76,4.0
SilentJaguar776,Fortnite,youtube,84193,103.7,212.0,1.0
GoldenLion420,Genshin Impact,Twitch,169363,178.9,449.02,2.0
CyberComet653,Roblox,Kick,10407,8.9,1336.47,2.0
TurboWizard896,Minecraft,YouTube,28261,39.0,718.87,2.0
SwiftLion807,Terraria,Twitch,90904,94.4,261.57,4.0
CosmicMage443,Minecraft,youtube,140820,146.2,191.03,2.0
SavageLynx479,Among Us,Twitch,1162,17.8,1562.76,2.0
UltraPhoenix978,Genshin Impact,TWITCH_tv,62959,72.4,539.26,3.0
LunarTitan305,Among Us,YouTube,133008,135.0,2.25,4.0
StormNinja621,Among Us,YouTube,69291,68.1,571.66,1.0
DarkPilot61,Apex Legends,Youtube,26091,35.6,1119.92,
VortexEagle447,Fortnite,YouTube,37728,36.8,183.99,5.0
PrimeOtter291,Among Us,Twich,80929,75.0,672.11,4.0
SwiftViper167,Terraria,Twich,90652,87.3,728.89,3.0
PixelFox952,Fortnite,YouTube,148368,155.4,197.69,4.0
SilentPilot831,Terraria,Twitch,108241,116.3,1671.85,
PixelNinja867,Call of Duty,Youtube,115120,124.9,739.9,
PrimePilot321,Among Us,Twich,173393,177.0,446.79,2.0
CosmicOtter871,Valorant,twitch,74596,75.3,542.63,1.0
RoyalTiger367,Rocket League,TWITCH_tv,76645,73.8,155.0,5.0
NeonTitan844,Valorant,TWITCH_tv,160635,166.4,146.89,2.0
VortexGamer665,League of Legends,Twitch,51560,45.8,407.16,2.0
BlazeKnight338,GTA V,YouTube,127562,131.9,432.64,5.0
RapidComet331,Minecraft,twitch,137263,136.3,510.01,3.0
SilentWizard630,Call of Duty,youtube,26897,19.4,1784.06,4.0
EpicPilot65,Among Us,youtube,76099,85.3,1072.1,2.0
PrimeMage489,Fortnite,youtube,22850,37.7,67.4,2.0
RapidPhoenix839,League of Legends,TWITCH_tv,47098,35.0,1536.15,4.0
MysticJaguar134,Apex Legends,twitch,83923,84.6,404.01,3.0
LuckyRanger595,Rocket League,Youtube,38609,53.5,1155.88,1.0
IronRaven132,Genshin Impact,youtube,132304,143.7,436.64,5.0
FrostTitan737,Stardew Valley,YouTube,163095,163.6,699.6,3.0
CosmicWizard530,Valorant,Kick,136918,144.9,170.19,4.0
EpicFalcon417,Minecraft,Twitch,44334,49.4,838.82,2.0
ShadowWizard544,Minecraft,Kick,60967,50.8,1261.65,
HyperWizard819,Among Us,Twitch,38057,47.3,89.62,4.0
PrimeLynx781,Valorant,Twitch,19815,26.0,1277.0,5.0
FrostGamer909,Roblox,YouTube,164691,170.0,317.56,2.0
HyperFox328,Stardew Valley,Twitch,74544,73.6,2220.15,4.0
NeonOtter623,Terraria,Twitch,45371,42.0,1172.88,5.0
ShadowViper453,Stardew Valley,Twitch,153855,152.7,1016.45,4.0
SilentJaguar499,Roblox,TWITCH_tv,72534,73.1,545.58,1.0
ToxicLion716,Rocket League,Youtube,13300,8.3,3000.0,1.0
GoldenGamer674,Rocket League,Twitch,28686,30.8,406.55,2.0
ShadowDragon298,Valorant,YouTube,112012,115.8,217.8,1.0
NeonTitan501,Among Us,youtube,136690,141.4,329.41,4.0
GhostLion782,FIFA 25,Twitch,40746,39.5,1442.51,5.0
RapidDragon414,Apex Legends,Twitch,164715,165.3,688.0,3.0
SavageFox685,Overwatch 2,Kick,151766,153.5,602.1,3.0
HyperMage462,GTA V,youtube,147204,153.0,412.57,4.0
RoyalFox128,FIFA 25,YouTube,35402,42.5,574.2,3.0
GoldenComet366,GTA V,youtube,12491,11.0,384.96,3.0
StormLynx85,Overwatch 2,Twitch,149856,156.4,1094.67,3.0
RoyalHawk786,Among Us,twitch,56625,56.4,499.19,2.0
PixelTiger494,League of Legends,Youtube,125742,112.2,335.82,1.0
LuckyEagle85,Overwatch 2,Twitch,127745,137.3,1350.83,3.0
UltraDragon455,GTA V,Youtube,28438,24.8,225.9,5.0
MysticShark22,Genshin Impact,YouTube,143998,141.0,696.49,1.0
MysticOtter671,Valorant,Youtube,162929,169.1,51.29,2.0
IronComet588,Call of Duty,TWITCH_tv,145318,131.7,131.7,2.0
PixelCobra776,Terraria,twitch,74951,80.5,449.6,5.0
MysticHunter141,FIFA 25,Twitch,154193,158.0,377.94,3.0
FrostSniper406,Genshin Impact,Twitch,86215,95.9,377.35,3.0
VortexMage35,Minecraft,Youtube,126558,134.6,1181.36,4.0
GoldenFalcon103,Minecraft,Twitch,144186,148.1,1236.17,2.0
LuckyNinja488,Overwatch 2,Twitch,136900,135.4,816.88,4.0
ToxicNinja674,Apex Legends,Twitch,54593,53.2,212.23,1.0
SwiftGamer796,FIFA 25,Twitch,33423,23.0,570.13,1.0
RoyalCobra269,Call of Duty,youtube,42920,44.4,2450.87,5.0
BlazeTitan867,Call of Duty,twitch,85768,91.5,3000.0,4.0
UltraWizard765,Genshin Impact,Twich,110437,91.9,1360.99,1.0
ShadowRaven853,Fortnite,Twitch,105069,105.7,222.02,3.0
MysticPilot117,Overwatch 2,YouTube,64429,72.3,574.73,1.0
MegaPhoenix228,Terraria,TWITCH_tv,130941,142.1,772.21,4.0
CyberRanger548,Rocket League,twitch,150234,164.5,676.72,4.0
SwiftRogue153,Apex Legends,Kick,52598,45.9,1472.02,2.0
UltraPilot517,Valorant,Twich,125030,133.1,1140.85,2.0
PrimeOtter879,GTA V,Kick,119084,122.7,208.44,2.0
PixelRogue684,FIFA 25,Twitch,91337,95.1,344.28,2.0
PrimeComet241,Valorant,Twitch,41172,35.6,1356.6,2.0
FrostFalcon347,Apex Legends,YouTube,131146,143.6,1828.02,2.0
SolarShark783,Genshin Impact,twitch,157245,173.0,780.41,3.0
NeonFox239,Roblox,Youtube,127269,130.5,1997.81,5.0
SwiftRanger969,Valorant,YouTube,163438,165.4,707.02,4.0
ShadowWolf219,GTA V,YouTube,172500,177.2,252.98,2.0
EpicTitan151,Valorant,youtube,56489,64.7,1060.39,5.0
EpicPilot190,Terraria,Youtube,116740,115.6,156.56,2.0
NeonDragon574,Stardew Valley,Twitch,77629,86.4,1942.58,5.0
FrostRanger36,Genshin Impact,Twitch,166048,177.6,1013.01,2.0
FrostJaguar854,Terraria,YouTube,11713,18.7,323.46,3.0
WildRanger874,Roblox,YouTube,83539,75.4,53.49,2.0
TurboRaven565,Roblox,Twitch,156477,157.8,23.97,4.0
EpicGamer333,Apex Legends,TWITCH_tv,56310,52.6,376.58,2.0
DarkWolf907,FIFA 25,Youtube,146568,142.2,883.62,5.0
RapidTiger490,Terraria,youtube,90596,70.1,1281.2,1.0
LuckyOtter773,Overwatch 2,YouTube,155406,176.4,1516.64,3.0
StormHunter726,Rocket League,twitch,146928,159.3,819.91,1.0
StormPilot846,Terraria,Twitch,49391,55.6,716.44,5.0
CyberWizard939,Rocket League,YouTube,126838,139.1,464.07,3.0
VortexEagle722,Apex Legends,twitch,51779,62.0,901.45,4.0
HyperGamer758,Call of Duty,YouTube,103508,109.9,328.65,5.0
WildPanda501,FIFA 25,YouTube,105007,119.2,167.2,3.0
HyperRogue223,Fortnite,Twitch,146395,149.7,678.61,1.0
MysticRaven849,Overwatch 2,Twitch,7994,6.4,1205.98,2.0
MysticComet614,Rocket League,Twitch,44488,41.2,125.78,2.0
GoldenLion717,GTA V,Kick,127827,128.7,376.62,
RapidPilot836,Among Us,YouTube,103509,102.3,656.79,5.0
TurboShark794,Overwatch 2,Twitch,84203,90.2,644.68,3.0
ShadowDragon68,Genshin Impact,Kick,29679,11.8,991.34,5.0
PixelPhoenix571,Among Us,TWITCH_tv,64175,64.0,2400.49,2.0
CyberGamer415,Call of Duty,TWITCH_tv,134800,156.0,24.46,4.0
EpicViper227,Fortnite,kick,606,7.5,2478.86,2.0
PrimeFalcon497,Overwatch 2,Twitch,56546,72.6,2323.4,2.0
WildEagle38,Terraria,Twitch,163329,170.2,6250000.0,2.0
NeonHunter752,GTA V,YouTube,11071,11.1,9870500.5,3.0
TurboRaven486,Stardew Valley,Twitch,126383,135.4,335.49,2.0
BlazeWizard120,Stardew Valley,YouTube,63092,47.9,1285.48,2.0
SavageLynx642,Overwatch 2,Twitch,154377,156.3,802.23,2.0
SilentLion535,FIFA 25,Twitch,135369,134.8,473.65,1.0
UltraViper529,Fortnite,Twitch,145766,159.7,1259.61,5.0
FrostEagle792,Minecraft,TWITCH_tv,31887,40.4,1433.18,2.0
LunarJaguar108,Roblox,Twitch,93564,96.6,1817.44,1.0
CosmicRaven322,Call of Duty,Twitch,136549,140.7,297.85,3.0
UltraBear699,Overwatch 2,Kick,30065,45.7,1645.37,5.0
UltraFox77,Call of Duty,twitch,41003,43.1,482.16,2.0
HyperLion41,Minecraft,twitch,8073,6.8,769.96,5.0
EpicFox231,Roblox,Twitch,163749,172.6,902.06,4.0
SilentCobra966,Genshin Impact,twitch,116973,128.4,1545.49,4.0
LuckyFalcon239,Genshin Impact,Twitch,106529,115.1,1160.16,
GhostPanda146,Apex Legends,YouTube,127765,134.4,466.05,1.0
PrimeShark438,Stardew Valley,Twitch,93996,96.6,32.0,2.0
HyperSniper56,GTA V,Kick,88798,86.8,981.77,5.0
WildPhoenix229,Terraria,kick,88047,82.0,742.85,4.0
StormShark553,Terraria,Twitch,109345,116.0,153.98,4.0
MegaPanda930,Rocket League,Twitch,33856,37.9,820.56,5.0
SilentSniper579,Apex Legends,Twitch,157096,160.1,649.41,2.0
FrostTiger130,Rocket League,YouTube,145562,146.5,1804.15,2.0
SolarPilot424,League of Legends,Twitch,59016,64.2,2602.16,5.0
HyperLion500,Apex Legends,Kick,107573,105.0,1405.88,3.0
SilentLion13,Rocket League,Youtube,35082,27.1,616.19,2.0
CosmicLion143,Among Us,youtube,178178,175.1,702.76,2.0
RoyalRanger717,Among Us,YouTube,170292,162.7,286.58,5.0
SilentTiger259,Apex Legends,Twich,152364,166.1,348.31,1.0
BlazeViper919,Call of Duty,Twitch,59656,61.1,584.17,1.0
LuckyViper67,Minecraft,TWITCH_tv,32085,32.1,529.51,4.0
LunarFalcon36,Rocket League,twitch,38430,39.7,142.8,1.0
ShadowWizard968,Among Us,kick,13406,18.0,1818.2,1.0
DarkJaguar916,Genshin Impact,YouTube,11846,23.4,2010.71,5.0
RapidTiger702,FIFA 25,youtube,16206,14.7,1774.7,3.0
PrimeComet361,FIFA 25,Twitch,164643,178.2,2061.45,4.0
HyperGamer246,Fortnite,Twich,16628,15.2,3000.0,3.0
PixelGamer6,Valorant,YouTube,19468,25.6,292.52,1.0
SilentShark316,Apex Legends,YouTube,134538,149.3,3000.0,1.0
EpicBear148,Apex Legends,Twich,103409,105.3,463.31,4.0
LunarMage524,Apex Legends,twitch,135517,139.8,1104.49,1.0
VortexKnight236,Apex Legends,twitch,114719,114.3,100.6,3.0
WildHunter763,Overwatch 2,YouTube,170037,159.0,407.08,2.0
MegaLion709,Fortnite,Twitch,113538,115.6,1437.01,2.0
WildHunter285,League of Legends,twitch,95536,94.9,1147.38,5.0
UltraComet45,Valorant,Twitch,115335,128.9,454.62,4.0
SolarKnight114,League of Legends,Twitch,68725,81.6,702.48,4.0
GhostDragon849,GTA V,Kick,74583,63.6,364.96,2.0
SolarRaven22,Minecraft,YouTube,75052,85.2,1433.96,2.0
CosmicCobra789,Apex Legends,twitch,23738,32.2,1909.41,4.0
PixelJaguar455,Minecraft,TWITCH_tv,137797,143.8,293.96,1.0
TurboRanger746,Genshin Impact,TWITCH_tv,46758,48.4,640.81,2.0
NeonRanger682,GTA V,YouTube,22115,29.3,135.24,
SavageCobra933,Roblox,kick,42665,45.9,799.69,4.0
ShadowEagle555,Valorant,kick,155640,151.9,1012.72,1.0
EpicHunter662,Fortnite,twitch,52812,60.8,856.31,4.0
NeonPhoenix115,FIFA 25,twitch,108246,124.1,948.68,3.0
SwiftViper983,Overwatch 2,TWITCH_tv,155721,154.4,580.89,2.0
RoyalOtter902,Among Us,YouTube,20448,15.8,593.68,4.0
DarkPhoenix6,Terraria,TWITCH_tv,127826,138.2,568.69,5.0
RoyalRogue816,Apex Legends,YouTube,42803,56.8,394.75,3.0
BlazeNinja288,League of Legends,YouTube,34113,40.6,445.54,2.0
HyperMage800,FIFA 25,twitch,119432,124.6,975.47,2.0
BlazeKnight193,Roblox,twitch,166530,163.9,1819.64,3.0
HyperHawk372,Genshin Impact,twitch,44982,54.5,239.66,1.0
MysticWizard504,Valorant,Twitch,98959,103.3,591.64,3.0
PixelNinja616,FIFA 25,Twitch,57821,53.6,184.46,1.0
SavageLynx400,FIFA 25,Youtube,78115,100.7,402.08,1.0
EpicMage531,Minecraft,twitch,116835,112.7,471.73,3.0
UltraWizard99,FIFA 25,Twitch,97110,110.6,752.2,4.0
CosmicWizard636,Call of Duty,YouTube,111506,113.0,734.21,5.0
HyperRaven916,Roblox,Youtube,28173,26.0,635.66,1.0
LunarSniper533,Fortnite,Twitch,129402,125.5,911.2,2.0
DarkCobra366,Minecraft,youtube,121902,122.1,266.8,
StormLion939,Minecraft,kick,99807,123.5,757.58,3.0
CyberRogue64,FIFA 25,YouTube,9662,15.2,1173.56,5.0
LunarEagle515,Fortnite,YouTube,80031,81.5,263.07,4.0
DarkTiger925,Genshin Impact,Twitch,71000,74.8,74.05,3.0
HyperDragon635,Roblox,kick,21851,17.4,1425.09,
PixelDragon665,Rocket League,twitch,47335,41.6,191.85,1.0
CosmicDragon621,GTA V,kick,82843,80.5,382.5,1.0
BlazeJaguar800,FIFA 25,YouTube,127276,134.2,1147.13,4.0
SilentLynx428,Terraria,Twitch,28719,44.2,248.26,2.0
ShadowRanger401,Fortnite,Twitch,140071,149.7,1350.47,2.0
SilentDragon488,Roblox,Youtube,99071,99.2,327.96,4.0
BlazeHunter98,Roblox,YouTube,123306,137.4,286.62,5.0
ShadowMage739,Valorant,Twitch,88345,86.1,331.08,3.0
PrimeWizard915,League of Legends,Youtube,95122,90.9,1027.77,5.0
UltraWizard762,League of Legends,Kick,109200,112.3,382.57,4.0
DarkRogue288,Overwatch 2,YouTube,135830,167.2,1429.56,4.0
GoldenShark197,League of Legends,TWITCH_tv,76300,89.5,658.8,5.0
DarkPanda582,Terraria,Twitch,107885,96.1,710.43,1.0
SavageBear840,Overwatch 2,youtube,100868,109.2,277.16,4.0
GoldenLion981,Terraria,twitch,112262,133.3,1593.1,5.0
GhostFalcon455,Fortnite,Kick,25442,14.8,1181.07,5.0
SolarSniper705,Genshin Impact,twitch,90717,93.8,1155.08,
PixelRaven418,Rocket League,YouTube,93655,87.7,550.96,4.0
LunarDragon374,Genshin Impact,Twitch,161511,166.1,158.48,5.0
TurboPilot721,Apex Legends,Twitch,90478,89.8,743.57,5.0
UltraTitan598,Genshin Impact,Youtube,85534,85.4,993.03,5.0
SwiftWizard901,Among Us,YouTube,171715,173.3,1001.03,5.0
GoldenNinja68,Fortnite,YouTube,97809,82.2,895.25,2.0
VortexRaven347,Call of Duty,Twich,41758,34.2,864.99,4.0
WildPilot688,Valorant,Twich,27427,40.6,326.29,3.0
MegaComet961,Genshin Impact,Kick,23028,18.9,343.24,5.0
LuckyKnight721,League of Legends,Twitch,12627,2.1,187.79,5.0
SavagePanda532,Roblox,YouTube,86077,78.9,1442.22,5.0
LuckyNinja738,Among Us,Kick,130042,138.9,2517.63,3.0
VortexGamer717,Call of Duty,twitch,136790,132.6,3000.0,3.0
IronRaven408,Fortnite,Twitch,16237,7.7,788.07,1.0
SilentPilot687,Stardew Valley,youtube,120405,103.5,866.81,4.0
RapidSniper251,Stardew Valley,YouTube,23525,29.5,571.37,3.0
NeonHawk839,Overwatch 2,YouTube,158466,169.5,777.67,3.0
ToxicRogue610,Rocket League,Twich,29261,31.8,247.17,4.0
SavageCobra128,Call of Duty,YouTube,105403,113.5,560.87,5.0
SolarRanger272,Among Us,TWITCH_tv,51475,60.1,289.17,1.0
SavagePanda661,FIFA 25,twitch,89789,116.2,496.34,3.0
PixelRaven435,Valorant,TWITCH_tv,69652,75.4,316.07,4.0
VortexFalcon288,Fortnite,Twitch,134795,137.2,993.46,5.0
StormHunter418,Roblox,youtube,38499,43.1,1095.48,4.0
ShadowComet514,Call of Duty,youtube,172023,163.2,844.88,4.0
BlazeCobra904,Valorant,twitch,88057,91.0,344.72,5.0
SavageLion233,Fortnite,twitch,141598,136.6,172.35,5.0
PrimeTitan499,Stardew Valley,Kick,149226,153.3,1105.24,4.0
PrimeViper203,Apex Legends,Twitch,178921,179.8,655.71,2.0
MegaGamer283,Among Us,YouTube,43539,41.9,69.32,3.0
PixelLion479,FIFA 25,TWITCH_tv,62895,53.1,738.32,4.0
UltraRanger366,Overwatch 2,Youtube,46218,46.6,872.16,1.0
PrimeRaven94,Overwatch 2,Twitch,51829,48.8,109.04,4.0
BlazeWolf724,League of Legends,YouTube,104846,105.7,1007.39,3.0
SwiftComet106,Stardew Valley,twitch,169054,178.8,133.31,5.0
SilentCobra917,Apex Legends,YouTube,174125,178.3,307.3,2.0
StormNinja222,Stardew Valley,Twitch,110385,95.8,134.48,5.0
CyberFox310,Call of Duty,TWITCH_tv,109252,115.7,274.3,3.0
NeonEagle95,Fortnite,YouTube,152201,155.1,174.2,3.0
GoldenPilot852,Overwatch 2,Twitch,171257,168.1,1435.29,4.0
LunarFalcon2,Minecraft,Twitch,47007,38.3,524.12,3.0
VortexPhoenix778,Overwatch 2,Twitch,92889,96.1,425.91,5.0
SolarFalcon812,Minecraft,twitch,125123,150.2,1539.61,1.0
RoyalOtter270,Roblox,Twitch,58834,56.0,1480.36,4.0
BlazePanda958,Rocket League,kick,60029,80.3,459.33,5.0
RapidGamer152,Genshin Impact,TWITCH_tv,181789,177.4,831.32,2.0
ToxicPilot759,Call of Duty,youtube,171291,177.3,372.16,2.0
LuckyTiger552,Fortnite,Twich,164632,163.3,599.34,3.0
NeonFalcon461,Roblox,Twitch,131178,144.1,213.87,4.0
MysticRaven244,Terraria,YouTube,36485,49.9,933.66,5.0
RoyalLynx509,GTA V,Kick,59731,59.1,1585.6,4.0
ToxicLion420,Fortnite,YouTube,95661,99.4,1380.92,4.0
MegaWizard449,Apex Legends,TWITCH_tv,94278,101.8,682.6,3.0
VortexJaguar152,Roblox,TWITCH_tv,89577,92.0,59.19,4.0
SavageShark458,Valorant,Twitch,133174,115.3,355.2,2.0
HyperPilot807,Stardew Valley,YouTube,79141,74.7,598.68,3.0
GhostLion145,Rocket League,Twich,138526,135.4,147.72,1.0
ToxicBear441,Valorant,kick,66581,61.4,117.12,1.0
MegaFox235,Rocket League,Twitch,71191,60.9,1919.57,5.0
StormJaguar411,Call of Duty,Youtube,23349,24.6,1259.68,
MysticShark505,Minecraft,twitch,18882,35.6,992.79,3.0
CyberOtter406,Call of Duty,Kick,145721,153.4,1148.76,1.0
PixelFox495,Valorant,Twitch,85324,81.4,181.19,1.0
SilentDragon427,Roblox,kick,34212,42.6,264.48,1.0
RapidLion530,Terraria,youtube,130429,137.2,790.06,4.0
PrimeNinja253,GTA V,Twitch,91536,100.6,842.5,2.0
HyperPhoenix58,Valorant,Twitch,19026,5.8,136.94,2.0
GoldenGamer106,Stardew Valley,youtube,62881,58.3,743.77,5.0
SwiftPhoenix37,Among Us,Twitch,38537,33.5,608.49,
BlazeNinja850,Terraria,YouTube,119238,118.7,1347.41,4.0
PixelFox110,Overwatch 2,Kick,49652,51.0,845.94,2.0
EpicPhoenix599,Apex Legends,YouTube,16000,13.6,2082.41,3.0
EpicMage565,Among Us,twitch,3229,11.8,461.8,2.0
SolarPhoenix763,FIFA 25,TWITCH_tv,84233,105.5,196.1,5.0
HyperMage637,GTA V,Twitch,8306,5.9,2042.36,1.0
WildPanda960,Roblox,Twich,149537,153.1,882.73,4.0
SilentWolf51,League of Legends,twitch,39389,29.7,611.68,3.0
